participant_id,start_time_seconds,end_time_seconds,duration_seconds,duration_minutes,start_event,end_event
P10,425.3,466.595,41.295000000000016,0.6882500000000003,End of '7alldone_callisabel',Start of '9callisabel'
P11,373.65,419.225,45.575000000000045,0.759583333333334,End of '7alldone_callisabel',Start of '9callisabel'
P12,342.27,374.81,32.54000000000002,0.5423333333333337,End of '7alldone_callisabel',Start of '9callisabel'
P14,476.06,520.43,44.36999999999995,0.7394999999999992,End of '7alldone_callisabel',Start of '9callisabel'
P15,386.345,424.605,38.25999999999999,0.6376666666666665,End of '7alldone_callisabel',Start of '9callisabel'
P16,551.84,592.275,40.434999999999945,0.6739166666666657,End of '7alldone_callisabel',Start of '9callisabel'
P18,344.89,403.56,58.670000000000016,0.9778333333333336,End of '7alldone_callisabel',Start of '9callisabel'
P19,489.11,518.48,29.370000000000005,0.4895000000000001,End of '7alldone_callisabel',Start of '9callisabel'
P2,339.735,363.085,23.349999999999966,0.3891666666666661,End of '7alldone_callisabel',Start of '9callisabel'
P20,305.48,337.69,32.20999999999998,0.5368333333333329,End of '7alldone_callisabel',Start of '9callisabel'
P21,494.13,545.53,51.39999999999998,0.8566666666666662,End of '7alldone_callisabel',Start of '9callisabel'
P22,384.73,452.765,68.03499999999997,1.1339166666666662,End of '7alldone_callisabel',Start of '9callisabel'
P23,378.965,424.67,45.70500000000004,0.7617500000000007,End of '7alldone_callisabel',Start of '9callisabel'
P24,316.25,371.43,55.18000000000001,0.9196666666666667,End of '7alldone_callisabel',Start of '9callisabel'
P25,364.645,392.025,27.379999999999995,0.45633333333333326,End of '7alldone_callisabel',Start of '9callisabel'
P26,303.775,328.5,24.725000000000023,0.4120833333333337,End of '7alldone_callisabel',Start of '9callisabel'
P27,388.58,418.665,30.085000000000036,0.5014166666666673,End of '7alldone_callisabel',Start of '9callisabel'
P28,432.51,476.0,43.49000000000001,0.7248333333333334,End of '7alldone_callisabel',Start of '9callisabel'
P29,414.76,430.195,15.435000000000002,0.25725000000000003,End of '7alldone_callisabel',Start of '9callisabel'
P3,564.961,587.015,22.053999999999974,0.3675666666666662,End of '7alldone_callisabel',Start of '9callisabel'
P30,626.045,651.653,25.60800000000006,0.426800000000001,End of '7alldone_callisabel',Start of '9callisabel'
P32,394.52,425.63,31.110000000000014,0.5185000000000002,End of '7alldone_callisabel',Start of '9callisabel'
P33,403.495,431.425,27.930000000000007,0.46550000000000014,End of '7alldone_callisabel',Start of '9callisabel'
P35,343.54,363.61,20.069999999999993,0.3344999999999999,End of '7alldone_callisabel',Start of '9callisabel'
P36,619.04,680.955,61.91500000000008,1.031916666666668,End of '7alldone_callisabel',Start of '9callisabel'
P37,334.892,382.239,47.34699999999998,0.7891166666666664,End of '7alldone_callisabel',End of last annotation 'researcher_knows'
P38,456.65,485.681,29.031000000000006,0.4838500000000001,End of '7alldone_callisabel',Start of '9callisabel'
P4,539.498,571.885,32.386999999999944,0.5397833333333324,End of '7alldone_callisabel',Start of '9callisabel'
P41,429.424,462.196,32.77200000000005,0.5462000000000008,End of '7alldone_callisabel',Start of '9callisabel'
P42,337.171,373.272,36.101,0.6016833333333333,End of '7alldone_callisabel',Start of '9callisabel'
P43,408.34,428.72,20.380000000000052,0.33966666666666756,End of '7alldone_callisabel',Start of '9callisabel'
P44,381.424,420.789,39.36500000000001,0.6560833333333335,End of '7alldone_callisabel',Start of '9callisabel'
P46,411.324,440.959,29.63499999999999,0.4939166666666665,End of '7alldone_callisabel',Start of '9callisabel'
P47,368.951,394.849,25.897999999999968,0.4316333333333328,End of '7alldone_callisabel',Start of '9callisabel'
P48,449.358,488.48,39.122000000000014,0.6520333333333336,End of '7alldone_callisabel',Start of '9callisabel'
P49,275.801,309.095,33.29400000000004,0.5549000000000006,End of '7alldone_callisabel',Start of '9callisabel'
P5,424.98,533.89,108.90999999999997,1.8151666666666662,End of '7alldone_callisabel',Start of '9callisabel'
P50,413.854,462.28,48.42599999999999,0.8070999999999998,End of '7alldone_callisabel',Start of '9callisabel'
P51,280.7,310.825,30.125,0.5020833333333333,End of '7alldone_callisabel',Start of '9callisabel'
P52,371.509,405.513,34.00399999999996,0.5667333333333328,End of '7alldone_callisabel',Start of '9callisabel'
P53,316.909,340.321,23.412000000000035,0.3902000000000006,End of '7alldone_callisabel',Start of '9callisabel'
P54,385.0,419.519,34.519000000000005,0.5753166666666668,End of '7alldone_callisabel',Start of '9callisabel'
P55,465.587,488.918,23.331000000000017,0.3888500000000003,End of '7alldone_callisabel',Start of '9callisabel'
P56,404.16,420.15,15.989999999999952,0.2664999999999992,End of '7alldone_callisabel',Start of '9callisabel'
P57,259.156,277.523,18.36700000000002,0.306116666666667,End of '7alldone_callisabel',Start of '9callisabel'
P58,313.076,339.673,26.59699999999998,0.443283333333333,End of '7alldone_callisabel',Start of '9callisabel'
P59,360.837,379.366,18.528999999999996,0.30881666666666663,End of '7alldone_callisabel',Start of '9callisabel'
P6,404.04,437.395,33.35499999999996,0.5559166666666661,End of '7alldone_callisabel',Start of '9callisabel'
P8,498.82,541.222,42.40199999999999,0.7066999999999998,End of '7alldone_callisabel',End of last annotation 'robô simão sabes o codigo ?'
P9,396.12,450.526,54.406000000000006,0.9067666666666667,End of '7alldone_callisabel',Start of '9callisabel'
