participant_id,video_name,start,end,duration,code_group,subcode
P1,2025-02-11_11-50-32,NA,NA,,video,00:00:00.617
P1,2025-02-11_11-50-32,NA,NA,,childprompt,00:00:09.619
P1,2025-02-11_11-50-32,NA,NA,,childprompt,00:00:09.587
P1,2025-02-11_11-50-32,NA,NA,,childprompt,00:00:01.180
P1,2025-02-11_11-50-32,NA,NA,,video,00:00:00.450
P1,2025-02-11_11-50-32,NA,NA,,video,00:00:00.207
P1,2025-02-11_11-50-32,NA,NA,,video,00:00:00.490
P1,2025-02-11_11-50-32,NA,NA,,video,00:00:00.078
P1,2025-02-11_11-50-32,NA,NA,,video,00:00:07.615
P1,2025-02-11_11-50-32,NA,NA,,robotspeaking,00:00:01.121
P1,2025-02-11_11-50-32,NA,NA,,robotspeaking,00:00:01.310
P1,2025-02-11_11-50-32,NA,NA,,robotspeaking,00:00:01.821
P1,2025-02-11_11-50-32,NA,NA,,childreaction2failure,00:00:01.550
P1,2025-02-11_11-50-32,NA,NA,,childreaction2failure,00:00:02.440
P1,2025-02-11_11-50-32,NA,NA,,childreaction2failure,00:00:09.587
P1,2025-02-11_11-50-32,NA,NA,,childreaction2failure,00:00:07.734
P1,2025-02-11_11-50-32,NA,NA,,robotspeaking,00:00:01.774
P10,2025-02-13_10-28-33,NA,NA,,childprompt,00:00:01.500
P10,2025-02-13_10-28-33,NA,NA,,childprompt,00:00:04.310
P10,2025-02-13_10-28-33,NA,NA,,childprompt,00:00:01.770
P10,2025-02-13_10-28-33,NA,NA,,quote,00:00:04.410
P10,2025-02-13_10-28-33,NA,NA,,childprompt,00:00:04.410
P10,2025-02-13_10-28-33,NA,NA,,video,00:00:01.540
P10,2025-02-13_10-28-33,NA,NA,,video,00:00:01.710
P10,2025-02-13_10-28-33,NA,NA,,video,00:00:01.020
P10,2025-02-13_10-28-33,NA,NA,,robotspeaking,00:00:01.390
P10,2025-02-13_10-28-33,NA,NA,,robotspeaking,00:00:01.650
P10,2025-02-13_10-28-33,NA,NA,,robotspeaking,00:00:03.020
P10,2025-02-13_10-28-33,NA,NA,,video,00:00:01.480
P10,2025-02-13_10-28-33,NA,NA,,robotspeaking,00:00:00.980
P10,2025-02-13_10-28-33,NA,NA,,childreaction2failure,00:00:01.500
P10,2025-02-13_10-28-33,NA,NA,,childreaction2failure,00:00:03.040
P10,2025-02-13_10-28-33,NA,NA,,childreaction2failure,00:00:01.880
P10,2025-02-13_10-28-33,NA,NA,,quote,00:00:04.310
P10,2025-02-13_10-28-33,NA,NA,,childprompt,00:00:01.600
P10,2025-02-13_10-28-33,NA,NA,,quote,00:00:01.880
P10,2025-02-13_10-28-33,NA,NA,,childreaction2failure,00:00:04.310
P10,2025-02-13_10-28-33,NA,NA,,video,00:00:01.880
P10,2025-02-13_10-28-33,NA,NA,,quote,00:00:01.500
P10,2025-02-13_10-28-33,NA,NA,,quote,00:00:01.600
P10,2025-02-13_10-28-33,NA,NA,,video,00:00:01.580
P11,2025-02-13_10-39-11,NA,NA,,childprompt,00:00:00.860
P11,2025-02-13_10-39-11,NA,NA,,quote,00:00:00.860
P11,2025-02-13_10-39-11,NA,NA,,quote,00:00:01.740
P11,2025-02-13_10-39-11,NA,NA,,quote,00:00:02.340
P11,2025-02-13_10-39-11,NA,NA,,childreaction2failure,00:00:05.360
P11,2025-02-13_10-39-11,NA,NA,,childreaction2failure,00:00:02.340
P11,2025-02-13_10-39-11,NA,NA,,robotspeaking,00:00:01.680
P11,2025-02-13_10-39-11,NA,NA,,robotspeaking,00:00:01.030
P11,2025-02-13_10-39-11,NA,NA,,robotspeaking,00:00:01.340
P11,2025-02-13_10-39-11,NA,NA,,childprompt,00:00:01.740
P11,2025-02-13_10-39-11,NA,NA,,video,00:00:01.170
P11,2025-02-13_10-39-11,NA,NA,,childprompt,00:00:05.360
P11,2025-02-13_10-39-11,NA,NA,,childprompt,00:00:02.340
P11,2025-02-13_10-39-11,NA,NA,,video,00:00:01.600
P11,2025-02-13_10-39-11,NA,NA,,video,00:00:01.980
P11,2025-02-13_10-39-11,NA,NA,,robotspeaking,00:00:01.710
P11,2025-02-13_10-39-11,NA,NA,,video,00:00:02.840
P11,2025-02-13_10-39-11,NA,NA,,video,00:00:01.320
P11,2025-02-13_10-39-11,NA,NA,,video,00:00:02.190
P12,2025-02-13_10-50-01,NA,NA,,childprompt,00:00:02.130
P12,2025-02-13_10-50-01,NA,NA,,childprompt,00:00:01.460
P12,2025-02-13_10-50-01,NA,NA,,childprompt,00:00:01.150
P12,2025-02-13_10-50-01,NA,NA,,robotspeaking,00:00:01.800
P12,2025-02-13_10-50-01,NA,NA,,childprompt,00:00:00.800
P12,2025-02-13_10-50-01,NA,NA,,childprompt,00:00:00.580
P12,2025-02-13_10-50-01,NA,NA,,video,00:00:01.820
P12,2025-02-13_10-50-01,NA,NA,,video,00:00:02.250
P12,2025-02-13_10-50-01,NA,NA,,video,00:00:01.410
P12,2025-02-13_10-50-01,NA,NA,,video,00:00:02.450
P12,2025-02-13_10-50-01,NA,NA,,video,00:00:01.700
P12,2025-02-13_10-50-01,NA,NA,,video,00:00:01.150
P12,2025-02-13_10-50-01,NA,NA,,childprompt,00:00:01.130
P12,2025-02-13_10-50-01,NA,NA,,robotspeaking,00:00:01.150
P12,2025-02-13_10-50-01,NA,NA,,robotspeaking,00:00:01.310
P12,2025-02-13_10-50-01,NA,NA,,quote,00:00:00.580
P12,2025-02-13_10-50-01,NA,NA,,robotspeaking,00:00:01.190
P12,2025-02-13_10-50-01,NA,NA,,quote,00:00:01.150
P12,2025-02-13_10-50-01,NA,NA,,quote,00:00:01.280
P12,2025-02-13_10-50-01,NA,NA,,quote,00:00:01.460
P12,2025-02-13_10-50-01,NA,NA,,quote,00:00:00.800
P12,2025-02-13_10-50-01,NA,NA,,childreaction2failure,00:00:00.800
P12,2025-02-13_10-50-01,NA,NA,,childreaction2failure,00:00:01.130
P12,2025-02-13_10-50-01,NA,NA,,childreaction2failure,00:00:02.130
P12,2025-02-13_10-50-01,NA,NA,,robotspeaking,00:00:00.760
P12,2025-02-13_10-50-01,NA,NA,,robotspeaking,00:00:00.960
P12,2025-02-13_10-50-01,NA,NA,,childreaction2failure,00:00:00.580
P12,2025-02-13_10-50-01,NA,NA,,childreaction2failure,00:00:00.750
P13,2025-02-13_10-58-41,NA,NA,,robotspeaking,00:00:01.530
P13,2025-02-13_10-58-41,NA,NA,,quote,00:00:00.910
P13,2025-02-13_10-58-41,NA,NA,,quote,00:00:01.260
P13,2025-02-13_10-58-41,NA,NA,,childreaction2failure,00:00:04.590
P13,2025-02-13_10-58-41,NA,NA,,childreaction2failure,00:00:01.260
P13,2025-02-13_10-58-41,NA,NA,,childreaction2failure,00:00:02.490
P13,2025-02-13_10-58-41,NA,NA,,robotspeaking,00:00:00.860
P13,2025-02-13_10-58-41,NA,NA,,robotspeaking,00:00:01.250
