participant_id,start_1,end_1,start_2,end_2,start_3,end_3
P1,00:08:35.904,00:08:45.000,00:08:46.801,NA,NA,00:09:06.111
P10,00:07:13.705,00:07:17.405,00:07:20.425,00:07:31.195,00:07:32.845,00:07:46.595
P11,00:06:24.110,00:06:30.460,00:06:31.490,00:06:46.795,00:06:48.135,00:06:59.225
P12,00:05:46.935,00:05:49.715,00:05:50.675,00:06:00.900,00:06:02.090,00:06:14.810
P13,00:08:57.925,00:09:08.565,00:09:10.095,00:09:19.220,00:09:20.480,00:09:37.760
P14,00:08:04.050,00:08:16.020,00:08:17.780,00:08:27.805,00:08:28.925,00:08:40.430
P15,00:06:32.045,00:06:41.705,00:06:43.155,00:06:53.825,00:06:55.135,00:07:04.605
P16,00:09:20.955,00:09:24.955,00:09:26.395,00:09:31.635,00:09:33.545,00:09:52.275
P18,00:06:01.250,00:06:13.000,00:06:15.430,00:06:27.540,00:06:29.740,00:06:43.560
P19,00:08:16.965,00:08:24.000,00:08:26.010,00:08:30.375,00:08:32.135,00:08:38.480
P2,00:05:48.190,00:05:51.590,00:05:53.010,00:05:53.010,00:05:53.015,00:06:03.085
P20,00:05:11.510,00:05:15.240,00:05:16.860,00:05:21.405,00:05:22.875,00:05:37.690
P21,00:08:27.440,00:08:35.320,00:08:37.140,00:08:49.010,00:08:50.730,00:09:05.530
P22,00:06:30.735,00:06:38.925,00:06:40.245,00:07:11.715,00:07:13.565,00:07:32.765
P23,00:06:40.730,00:06:45.280,00:06:47.520,00:06:58.355,00:07:00.595,00:07:04.670
P24,00:05:49.490,00:05:56.580,00:05:58.330,00:06:03.415,00:06:05.605,00:06:11.430
P25,00:06:13.375,00:06:16.630,00:06:18.350,00:06:22.685,00:06:24.825,00:06:32.025
P26,00:05:08.800,00:05:11.980,00:05:14.790,00:05:19.410,00:05:22.290,00:05:28.500
P27,00:06:48.035,00:06:50.195,00:06:52.245,NA,NA,00:06:58.665
P28,00:07:19.015,00:07:21.855,00:07:23.695,00:07:43.270,00:07:45.490,00:07:56.000
P29,00:06:58.000,00:07:00.260,00:07:01.920,00:07:04.200,00:07:06.350,00:07:10.195
P3,00:09:32.000,00:09:34.937,00:09:36.744,00:09:40.530,00:09:41.530,00:09:47.015
P30,00:10:31.665,00:10:34.330,00:10:36.300,00:10:40.710,00:10:42.670,00:10:51.653
P32,00:06:48.705,00:06:53.040,00:06:54.740,00:06:58.690,00:07:00.480,00:07:05.630
P33,00:06:51.280,00:06:53.570,00:06:55.330,00:06:59.130,00:07:01.130,00:07:11.425
P35,00:05:47.495,00:05:51.285,00:05:52.955,00:05:55.695,00:05:57.455,00:06:03.610
P36,00:10:33.690,00:10:43.400,00:10:46.090,00:11:05.765,00:11:07.885,00:11:20.955
P37,00:05:41.119,00:05:53.324,00:05:55.779,00:06:07.040,00:06:09.262,NA
P38,00:07:41.820,00:07:50.035,00:07:52.095,00:07:55.785,00:07:57.925,00:08:05.681
P4,00:09:05.497,00:09:11.560,00:09:12.560,00:09:24.287,00:09:25.287,00:09:31.885
P41,00:07:25.946,00:07:29.729,00:07:31.749,00:07:36.281,00:07:38.131,00:07:42.196
P42,00:05:44.247,00:05:55.490,00:05:57.610,00:06:04.152,00:06:06.642,00:06:13.272
P43,00:06:51.430,00:06:53.760,00:06:55.580,00:07:03.950,00:07:05.580,00:07:08.720
P44,00:06:28.109,00:06:33.504,00:06:35.814,00:06:46.499,00:06:48.629,00:07:00.789
P46,00:06:57.407,00:06:59.966,00:07:01.776,00:07:11.336,00:07:13.356,00:07:20.959
P47,00:06:14.920,00:06:26.283,00:06:28.503,NA,NA,00:06:34.849
P48,00:07:33.832,00:07:40.016,00:07:42.106,00:07:54.319,00:07:56.049,00:08:08.480
P49,00:04:43.532,00:04:52.578,00:04:54.978,00:04:58.891,00:05:00.871,00:05:09.095
P5,00:07:12.563,00:07:19.530,00:07:21.250,00:07:30.000,00:07:31.000,00:08:53.890
P50,00:06:59.090,00:07:03.404,00:07:04.764,00:07:18.511,00:07:21.011,00:07:42.280
P51,00:04:45.820,00:04:50.735,00:04:53.045,00:04:59.360,00:05:01.560,00:05:10.825
P52,00:06:16.214,00:06:18.735,00:06:20.455,00:06:34.272,00:06:36.662,00:06:45.513
P53,00:05:20.952,00:05:23.057,00:05:25.287,00:05:32.660,00:05:34.650,00:05:40.321
P54,00:06:30.577,00:06:38.099,00:06:40.249,00:06:48.947,00:06:51.217,00:06:59.519
P55,00:07:50.143,00:07:55.297,00:07:57.447,00:08:03.699,00:08:05.389,00:08:08.918
P56,00:06:48.640,00:06:50.694,00:06:52.884,00:06:55.948,00:06:57.908,00:07:00.150
P57,00:04:23.828,00:04:26.360,00:04:28.500,00:04:31.241,00:04:33.331,00:04:37.523
P58,00:05:20.511,00:05:25.238,00:05:27.348,00:05:35.217,00:05:37.127,00:05:39.673
P59,00:06:05.837,00:06:07.762,00:06:09.972,NA,NA,00:06:19.366
P6,00:06:51.750,00:06:57.180,00:06:58.540,00:07:12.000,00:07:14.235,00:07:17.395
P7,00:06:25.695,00:06:36.110,00:06:37.230,00:06:41.940,00:06:43.090,00:06:49.105
P8,00:08:25.932,00:08:35.872,00:08:37.392,NA,NA,NA
P9,00:07:02.950,00:07:13.745,00:07:14.185,00:07:22.306,00:07:23.406,00:07:30.526
