participant_id,video_name,start,end,duration,code_group,subcode,error,subcode_readable
P10,2025-02-13_10-28-33,00:07:14.270,00:07:17.360,3.09,childtone,interrogative,1,interrogative tone
P10,2025-02-13_10-28-33,00:07:14.270,00:07:17.360,3.09,childprompt,simplerprompt,1,simpler prompt
P10,2025-02-13_10-28-33,00:07:19.840,00:07:21.720,1.88,childreaction2failure,frustration,2,frustration
P10,2025-02-13_10-28-33,00:07:29.405,00:07:31.175,1.77,childprompt,noprompt,2,no prompt
P10,2025-02-13_10-28-33,00:07:35.770,00:07:37.270,1.5,childprompt,simplerprompt,3,simpler prompt
P10,2025-02-13_10-28-33,00:07:38.295,00:07:42.605,4.31,childreaction2failure,frustration,3,frustration
P10,2025-02-13_10-28-33,00:07:38.295,00:07:42.605,4.31,childtone,slower,3,slower speech
P10,2025-02-13_10-28-33,00:07:38.295,00:07:42.605,4.31,childprompt,longerprompt,3,more specific/longer prompt
P11,2025-02-13_10-39-11,00:06:25.505,00:06:27.245,1.74,childtone,interrogative,1,interrogative tone
P11,2025-02-13_10-39-11,00:06:25.505,00:06:27.245,1.74,childprompt,longerprompt,1,more specific/longer prompt
P11,2025-02-13_10-39-11,00:06:31.710,00:06:37.070,5.36,childreaction2failure,lookingatPC,2,looks at PC
P11,2025-02-13_10-39-11,00:06:31.710,00:06:37.070,5.36,childprompt,noprompt,2,no prompt
P11,2025-02-13_10-39-11,00:06:37.235,00:06:46.420,9.185,childreaction2failure,confusion,2,confusion
P11,2025-02-13_10-39-11,00:06:54.690,00:06:57.030,1.872,childreaction2failure,frustration,3,frustration
P11,2025-02-13_10-39-11,00:06:54.690,00:06:57.030,2.34,childprompt,longerprompt,3,more specific/longer prompt
P11,2025-02-13_10-39-11,00:06:54.690,00:06:57.092,0.53,childreaction2failure,pf,3,'please'
P12,2025-02-13_10-50-01,00:05:46.930,00:05:47.730,0.8,childreaction2failure,moves,1,changes position
P12,2025-02-13_10-50-01,00:05:46.930,00:05:47.730,0.8,childprompt,repeatprompt,1,repeats prompt
P12,2025-02-13_10-50-01,00:05:51.070,00:05:52.200,1.13,childreaction2failure,quitting,2,quitting
P12,2025-02-13_10-50-01,00:05:51.070,00:05:52.200,1.13,childprompt,noprompt,2,no prompt
P12,2025-02-13_10-50-01,00:05:51.070,00:05:52.200,0.75,childreaction2failure,leaveroom,2,leaves room
P12,2025-02-13_10-50-01,00:05:59.010,00:06:00.160,1.15,childprompt,repeatprompt,2,repeats prompt
P12,2025-02-13_10-50-01,00:06:03.010,00:06:05.140,2.13,childreaction2failure,confusion,3,confusion
P12,2025-02-13_10-50-01,00:06:03.010,00:06:05.140,2.13,childprompt,noprompt,3,no prompt
P12,2025-02-13_10-50-01,00:06:12.155,00:06:13.615,1.46,childprompt,repeatprompt,3,repeats prompt
P13,2025-02-13_10-58-41,00:08:58.815,00:09:03.405,4.59,childreaction2failure,confusion,1,confusion
P13,2025-02-13_10-58-41,00:08:58.815,00:09:03.405,4.59,childprompt,noprompt,1,no prompt
P13,2025-02-13_10-58-41,00:09:14.015,00:09:15.275,1.26,childreaction2failure,frustration,2,frustration
P13,2025-02-13_10-58-41,00:09:14.015,00:09:15.275,1.26,childprompt,longerprompt,2,more specific/longer prompt
P13,2025-02-13_10-58-41,00:09:25.550,00:09:28.040,2.49,childreaction2failure,frustration,3,frustration
P13,2025-02-13_10-58-41,00:09:25.550,00:09:28.040,2.49,childprompt,noprompt,3,no prompt
P14,2025-02-13_11-11-15,00:08:02.190,00:08:05.310,3.12,childreaction2failure,lookingatPC,1,looks at PC
P14,2025-02-13_11-11-15,00:08:05.235,00:08:09.635,4.4,childprompt,noprompt,1,no prompt
P14,2025-02-13_11-11-15,00:08:05.310,00:08:09.635,4.325,childreaction2failure,confusion,1,confusion
P14,2025-02-13_11-11-15,00:08:10.705,00:08:16.035,3.37,childreaction2failure,lookingrobot,1,looks at robot
P14,2025-02-13_11-11-15,00:08:10.705,00:08:16.035,1.89,childreaction2failure,humor,1,amusement/humor
P14,2025-02-13_11-11-15,00:08:17.915,00:08:23.565,5.65,childreaction2failure,try2look2researcher,2,looks for researcher
P14,2025-02-13_11-11-15,00:08:17.915,00:08:23.565,5.65,childprompt,noprompt,2,no prompt
P14,2025-02-13_11-11-15,00:08:29.200,00:08:33.205,4.005,childreaction2failure,try2look2researcher,3,looks for researcher
P14,2025-02-13_11-11-15,00:08:29.200,00:08:37.230,8.03,childprompt,noprompt,3,no prompt
P14,2025-02-13_11-11-15,00:08:33.205,00:08:35.455,2.25,childreaction2failure,frustration,3,frustration
P16,2025-02-13_11-33-04,00:09:21.350,00:09:22.830,1.48,childtone,interrogative,1,interrogative tone
P16,2025-02-13_11-33-04,00:09:21.350,00:09:22.830,1.48,childprompt,repeatprompt,1,repeats prompt
P16,2025-02-13_11-33-04,00:09:26.470,00:09:29.920,3.45,childreaction2failure,try2look2researcher,2,looks for researcher
P16,2025-02-13_11-33-04,00:09:29.950,00:09:30.730,0.78,childprompt,repeatprompt,2,repeats prompt
P16,2025-02-13_11-33-04,00:09:32.995,00:09:34.635,1.64,childreaction2failure,lookingatPC,3,looks at PC
P16,2025-02-13_11-33-04,00:09:34.685,00:09:38.745,4.06,childreaction2failure,try2look2researcher,3,looks for researcher
P16,2025-02-13_11-33-04,00:09:34.685,00:09:38.745,4.06,childprompt,noprompt,3,no prompt
P16,2025-02-13_11-33-04,00:09:38.840,00:09:43.500,4.66,childreaction2failure,confusion,3,confusion
P16,2025-02-13_11-33-04,00:09:51.845,00:09:52.235,0.39,childreaction2failure,try2look2researcher,3,looks for researcher
P16,2025-02-13_11-33-04,00:09:51.845,00:09:52.235,0.39,childprompt,repeatprompt,3,repeats prompt
P19,2025-02-13_12-05-34,00:08:17.460,00:08:17.980,0.52,childreaction2failure,lookingrobot,1,looks at robot
P19,2025-02-13_12-05-34,00:08:18.010,00:08:20.480,2.47,childreaction2failure,lookingatPC,1,looks at PC
P19,2025-02-13_12-05-34,00:08:22.015,00:08:22.855,0.84,childreaction2failure,confusion,1,confusion
P19,2025-02-13_12-05-34,00:08:22.015,00:08:22.855,0.84,childprompt,repeatprompt,1,repeats prompt
