participant_id,error,time_to_reaction,code,subcode_readable
P10,1,1.544999999999959,interrogative,interrogative tone
P10,2,2.4350000000000023,frustration,frustration
P10,3,4.574999999999989,simplerprompt,simpler prompt
P11,1,3.0749999999999886,interrogative,interrogative tone
P11,2,1.25,noprompt,no prompt
P11,3,7.894999999999982,frustration,frustration
P12,1,0.7549999999999955,moves,changes position
P12,2,1.3550000000000182,quitting,quitting
P12,3,2.1100000000000136,confusion,confusion
P13,1,2.1400000000001,confusion,confusion
P13,2,5.449999999999932,frustration,frustration
P13,3,6.329999999999927,frustration,frustration
P14,1,2.4850000000000136,noprompt,no prompt
P14,2,1.8950000000000387,try2look2researcher,looks for researcher
P14,3,1.3949999999999818,try2look2researcher,looks for researcher
P16,1,2.1549999999999727,interrogative,interrogative tone
P16,2,1.5149999999999864,try2look2researcher,looks for researcher
P16,3,3.0499999999999545,try2look2researcher,looks for researcher
P19,1,6.139999999999986,confusion,confusion
P19,2,2.980000000000018,confusion,confusion
P19,3,3.355000000000018,slower,slower speech
P2,2,1.525000000000034,noprompt,no prompt
P2,3,6.680000000000007,moves,changes position
P20,1,2.3349999999999795,standsup,stands up
P20,2,2.704999999999984,moves,changes position
P20,3,11.920000000000016,simplerprompt,simpler prompt
P21,1,1.7099999999999795,noprompt,no prompt
P21,2,2.074999999999932,try2look2researcher,looks for researcher
P21,3,1.7749999999999773,noprompt,no prompt
P22,1,2.214999999999975,demanding,demanding tone
P22,2,2.0949999999999704,confusion,confusion
P22,3,12.385000000000048,simplerprompt,simpler prompt
P23,1,3.240000000000009,slower,slower speech
P23,2,8.135000000000048,simplerprompt,simpler prompt
P23,3,2.2549999999999955,slower,slower speech
P24,1,1.9399999999999977,swappingterms,swaps terms
P24,2,1.8900000000000432,slower,slower speech
P24,3,2.394999999999982,quitting,quitting
P25,1,0.9849999999999568,slower,slower speech
P25,2,1.7450000000000045,slower,slower speech
P25,3,2.2649999999999864,demanding,demanding tone
P26,1,2.1299999999999955,slower,slower speech
