participant,condition,round,Q1,Q2,Q3,Q4,Q5
1.0,control,1,5,5,5,5,5
2.0,control,1,4,5,5,5,5
3.0,control,1,4,5,5,5,5
4.0,control,1,4,5,5,5,3
5.0,error,1,5,4,4,5,4
6.0,control,1,5,5,5,5,5
7.0,control,1,5,4,5,5,5
8.0,control,1,4,3,4,5,5
9.0,error,1,5,4,5,5,5
10.0,control,1,5,4,5,5,5
11.0,control,1,4,4,4,4,4
12.0,error,1,5,4,5,4,4
13.0,control,1,4,4,4,5,4
14.0,error,1,5,4,4,5,4
15.0,control,1,5,4,4,5,4
16.0,error,1,4,5,4,5,4
18.0,error,1,5,5,5,5,5
20.0,control,1,5,4,5,5,5
21.0,control,1,5,5,4,4,3
22.0,error,1,4,5,4,4,4
23.0,control,1,4,3,3,3,3
24.0,control,1,5,5,5,5,5
25.0,error,1,5,4,5,5,4
26.0,error,1,5,5,5,5,5
27.0,error,1,5,4,4,5,4
28.0,control,1,4,5,5,5,5
29.0,error,1,5,4,5,4,4
30.0,control,1,3,3,5,5,4
32.0,control,1,5,5,4,5,5
35.0,error,1,5,5,5,5,5
36.0,control,1,4,5,4,5,5
37.0,error,1,5,5,5,5,5
38.0,control,1,3,3,2,2,3
39.0,error,1,5,5,5,5,5
41.0,error,1,5,4,5,5,4
42.0,control,1,5,5,4,5,5
43.0,error,1,5,5,4,5,5
44.0,control,1,5,5,4,5,5
46.0,error,1,5,5,5,5,5
47.0,error,1,4,5,4,4,5
48.0,error,1,3,3,3,4,4
49.0,control,1,5,5,5,5,4
50.0,error,1,5,5,5,5,5
51.0,error,1,4,5,4,5,4
52.0,error,1,5,5,5,5,5
53.0,error,1,4,5,4,4,5
54.0,error,1,5,5,4,5,5
55.0,error,1,4,5,4,5,4
56.0,error,1,5,5,5,4,4
57.0,control,1,5,5,4,5,4
58.0,error,1,3,4,5,3,5
59.0,control,1,5,5,5,5,5
1.0,control,2,3,2,4,2,3
2.0,control,2,5,5,5,5,5
3.0,control,2,4,5,5,4,5
4.0,control,2,3,5,5,5,5
5.0,error,2,5,4,4,5,4
6.0,control,2,5,5,5,5,5
7.0,control,2,5,5,5,5,5
8.0,control,2,4,3,4,5,5
9.0,error,2,5,4,5,5,5
10.0,control,2,5,4,5,5,5
11.0,control,2,3,4,4,5,4
12.0,error,2,5,4,4,5,5
13.0,control,2,4,4,4,4,5
14.0,error,2,5,4,4,4,4
15.0,control,2,5,4,5,5,5
16.0,error,2,4,5,4,5,5
18.0,error,2,5,5,5,4,5
20.0,control,2,5,5,5,5,5
21.0,control,2,5,5,5,4,3
22.0,error,2,4,5,4,4,4
23.0,control,2,3,4,3,4,4
24.0,control,2,5,5,5,5,5
25.0,error,2,5,4,5,4,4
26.0,error,2,5,5,5,5,5
27.0,error,2,5,5,4,5,4
28.0,control,2,5,5,5,5,4
29.0,error,2,5,5,5,4,4
30.0,control,2,3,4,4,5,4
32.0,control,2,5,5,4,5,5
35.0,error,2,5,5,5,5,5
36.0,control,2,4,5,4,5,4
37.0,error,2,5,5,5,5,5
38.0,control,2,2,3,3,2,3
39.0,error,2,5,5,5,5,5
41.0,error,2,5,4,5,5,4
42.0,control,2,5,5,4,5,5
43.0,error,2,5,5,4,5,5
44.0,control,2,5,5,5,5,5
46.0,error,2,5,5,5,5,5
47.0,error,2,5,5,4,4,5
48.0,error,2,3,3,3,4,4
49.0,control,2,5,5,5,5,4
50.0,error,2,5,5,5,5,5
51.0,error,2,5,4,4,5,4
52.0,error,2,5,5,5,5,5
53.0,error,2,4,5,4,4,5
54.0,error,2,5,5,4,5,5
55.0,error,2,4,4,5,5,4
56.0,error,2,5,5,5,4,4
57.0,control,2,5,5,4,5,4
58.0,error,2,3,5,4,4,5
59.0,control,2,5,5,5,5,5
